cod_ordencompra,cod_insumo,cod_supcantidad,cod_supcalidad,cantidad_recibida,fechahora_cantidad,Cod_Calidad,fechahora_calidad,descripcion
82,32,103,104,107,22/08/2023 19:43,4,23/08/2023 03:53,bien
82,309,103,104,112,8/06/2023 17:57,3,9/06/2023 02:06,muy bien
82,363,103,104,110,28/02/2023 06:19,5,28/02/2023 14:29,decente
82,399,103,104,105,26/09/2023 06:14,5,26/09/2023 14:23,bien
82,190,103,104,105,20/03/2023 03:22,4,20/03/2023 11:31,muy bien
83,15,103,104,106,13/06/2023 07:13,3,13/06/2023 15:23,decente
83,278,103,104,103,13/10/2023 10:36,3,13/10/2023 18:45,bien
83,58,103,104,94,12/04/2023 02:58,5,12/04/2023 11:08,muy bien
83,69,103,104,99,10/03/2023 05:23,3,10/03/2023 13:33,decente
84,271,103,104,104,14/04/2023 19:30,5,15/04/2023 03:39,bien
84,149,103,104,97,14/08/2023 02:24,5,14/08/2023 10:34,muy bien
84,93,103,104,109,31/07/2023 06:01,4,31/07/2023 14:11,decente
85,313,103,104,102,15/10/2023 23:09,3,16/10/2023 07:19,bien
85,326,103,104,91,27/07/2023 23:06,4,28/07/2023 07:15,muy bien
85,204,103,104,94,12/05/2023 17:19,3,13/05/2023 01:29,decente
86,254,103,104,106,23/05/2023 06:45,3,23/05/2023 14:54,bien
86,333,103,104,115,11/04/2023 04:26,3,11/04/2023 12:36,muy bien
86,179,103,104,101,7/03/2023 00:36,5,7/03/2023 08:46,decente
87,279,103,104,94,11/05/2023 15:42,4,11/05/2023 23:52,bien
87,368,103,104,95,31/03/2023 15:44,4,31/03/2023 23:54,muy bien
87,40,103,104,95,5/10/2023 15:26,3,5/10/2023 23:35,decente
88,340,103,104,112,4/09/2023 17:49,4,5/09/2023 01:58,bien
88,74,103,104,111,24/02/2023 15:30,4,24/02/2023 23:39,muy bien
88,55,103,104,110,29/08/2023 04:56,5,29/08/2023 13:05,decente
88,445,103,104,105,11/02/2023 23:00,4,12/02/2023 07:10,bien
88,192,103,104,96,7/09/2023 19:16,4,8/09/2023 03:25,muy bien
88,227,103,104,92,7/12/2023 17:18,3,8/12/2023 01:27,decente
89,12,103,104,106,25/06/2023 12:56,3,25/06/2023 21:05,bien
89,67,103,104,95,3/11/2023 03:13,4,3/11/2023 11:22,muy bien
89,125,103,104,114,4/04/2023 02:39,4,4/04/2023 10:49,decente
90,251,103,104,108,28/10/2023 12:00,5,28/10/2023 20:10,bien
90,191,103,104,108,13/08/2023 13:32,4,13/08/2023 21:42,muy bien
91,164,103,104,95,28/07/2023 21:41,5,29/07/2023 05:51,decente
91,152,103,104,98,12/09/2023 09:44,3,12/09/2023 17:53,bien
91,43,103,104,98,28/08/2023 01:48,4,28/08/2023 09:57,muy bien
91,189,103,104,92,4/10/2023 12:38,3,4/10/2023 20:48,decente
91,378,103,104,93,20/11/2023 20:00,3,21/11/2023 04:10,bien
91,80,103,104,105,15/01/2023 09:55,5,15/01/2023 18:04,muy bien
91,316,103,104,95,13/07/2023 20:31,5,14/07/2023 04:41,decente
91,305,103,104,106,12/05/2023 01:53,5,12/05/2023 10:03,bien
92,365,103,104,109,6/10/2023 16:29,3,7/10/2023 00:39,muy bien
92,355,103,104,106,6/11/2023 04:13,3,6/11/2023 12:23,decente
92,224,103,104,111,24/04/2023 14:45,3,24/04/2023 22:55,bien
92,201,103,104,106,27/04/2023 17:49,4,28/04/2023 01:59,muy bien
92,392,103,104,100,2/07/2023 20:00,4,3/07/2023 04:09,decente
92,61,103,104,115,13/07/2023 07:21,4,13/07/2023 15:30,bien
92,228,103,104,109,3/08/2023 02:14,5,3/08/2023 10:24,muy bien
92,241,103,104,111,31/07/2023 01:09,3,31/07/2023 09:19,decente
92,417,103,104,90,7/09/2023 00:24,4,7/09/2023 08:33,bien
93,78,103,104,99,16/11/2023 21:57,3,17/11/2023 06:07,muy bien
93,192,103,104,100,27/02/2023 08:54,3,27/02/2023 17:03,decente
93,184,103,104,107,12/03/2023 22:12,4,13/03/2023 06:22,bien
94,52,103,104,115,1/05/2023 13:31,3,1/05/2023 21:41,muy bien
94,197,103,104,109,9/04/2023 09:41,3,9/04/2023 17:50,decente
95,222,103,104,105,27/09/2023 23:23,4,28/09/2023 07:33,bien
95,104,103,104,102,28/02/2023 04:51,5,28/02/2023 13:00,muy bien
95,283,103,104,100,12/06/2023 14:02,5,12/06/2023 22:11,decente
96,99,103,104,97,3/12/2023 22:17,4,4/12/2023 06:26,bien
96,291,103,104,114,3/03/2023 03:14,4,3/03/2023 11:23,muy bien
96,273,103,104,115,6/06/2023 07:08,5,6/06/2023 15:18,decente
96,274,103,104,114,10/12/2023 21:21,3,11/12/2023 05:30,bien
97,338,103,104,111,13/04/2023 02:26,4,13/04/2023 10:36,muy bien
97,262,103,104,93,8/06/2023 15:57,3,9/06/2023 00:06,decente
97,420,103,104,115,1/03/2023 07:42,3,1/03/2023 15:51,bien
98,166,103,104,92,20/04/2023 09:18,3,20/04/2023 17:27,muy bien
98,413,103,104,93,26/11/2023 18:51,4,27/11/2023 03:00,decente
99,162,103,104,110,12/10/2023 10:08,4,12/10/2023 18:18,bien
99,97,103,104,104,15/09/2023 16:15,4,16/09/2023 00:25,muy bien
100,205,103,104,107,20/05/2023 23:29,5,21/05/2023 07:39,decente
100,83,103,104,99,31/05/2023 21:49,4,1/06/2023 05:58,bien
100,217,103,104,93,18/04/2023 03:56,4,18/04/2023 12:06,muy bien
100,196,103,104,104,20/07/2023 17:57,5,21/07/2023 02:07,decente
100,163,103,104,114,13/05/2023 06:44,4,13/05/2023 14:53,bien
100,417,103,104,94,20/12/2023 20:31,3,21/12/2023 04:40,muy bien
100,112,103,104,112,6/10/2023 10:16,3,6/10/2023 18:25,decente
100,144,103,104,112,30/04/2023 17:56,3,1/05/2023 02:06,bien
100,388,103,104,93,7/03/2023 17:33,4,8/03/2023 01:42,muy bien
100,24,103,104,101,4/03/2023 09:49,5,4/03/2023 17:58,decente
101,152,103,104,104,5/12/2023 12:42,4,5/12/2023 20:52,bien
101,343,103,104,110,20/09/2023 12:08,4,20/09/2023 20:17,muy bien
101,431,103,104,111,6/03/2023 21:50,4,7/03/2023 06:00,decente
101,100,103,104,97,20/01/2023 17:53,3,21/01/2023 02:03,bien
101,347,103,104,97,13/11/2023 10:21,5,13/11/2023 18:30,muy bien
101,326,103,104,111,26/12/2023 09:47,4,26/12/2023 17:57,decente
102,84,103,104,110,4/08/2023 13:01,4,4/08/2023 21:10,bien
102,452,103,104,108,3/11/2023 17:04,4,4/11/2023 01:14,muy bien
102,419,103,104,107,1/10/2023 15:28,4,1/10/2023 23:38,decente
102,353,103,104,93,12/02/2023 00:42,4,12/02/2023 08:51,bien
